year,totalIngreso,tributarios,noTributarios,totalOrdinarios,petroleros,noPetroleros,totEntControl,pemex,cfe,imss,isste,entDesincyLFC,lfc,entDesinc2,,,,,,,,,,,,,,,,
1994,328518.10,160317.40,59784.90,220102.30,52810.90,167291.40,108415.80,32409.40,20809.30,34908.50,4866.68,15421.92,3598.20,11823.72,,,,,,,,,,,,,,,,
1995,418882.60,170305.70,109838.70,280144.40,89698.50,190445.90,138738.20,49298.60,28488.70,39072.00,7694.40,14184.50,1497.80,12686.70,,,,,,,,,,,,,,,,
1996,580722.00,226006.20,166559.80,392566.00,133246.80,259319.20,188156.00,73353.20,39723.20,48422.30,10074.70,16582.60,1174.10,15408.50,,,,,,,,,,,,,,,,
1997,737180.90,312617.10,196126.70,508743.80,163941.30,344802.50,228437.10,85040.30,54085.50,55703.50,13195.10,20412.70,1006.40,19406.30,,,,,,,,,,,,,,,,
1998,783045.90,404225.20,140950.50,545175.70,150996.90,394178.80,237870.20,82066.40,63721.80,57277.00,15947.20,18857.80,1386.10,17471.70,,,,,,,,,,,,,,,,
1999,956683.10,521682.40,152665.70,674348.10,185049.50,489298.60,282335.00,101165.80,77949.30,70917.20,19697.00,12605.70,1753.30,10852.40,,,,,,,,,,,,,,,,
2000,1179918.90,581703.30,286564.30,868267.60,284555.10,583712.50,311651.30,100591.50,96076.20,85598.20,21190.80,8194.60,2084.90,6109.70,,,,,,,,,,,,,,,,
2001,1271646.30,654870.20,284244.30,939114.50,283055.20,656059.30,332531.80,103523.90,100436.50,95462.10,23817.70,9291.60,2673.40,6618.20,,,,,,,,,,,,,,,,
2002,1387500.40,728283.70,261069.70,989353.40,260006.10,729347.30,398147.00,150031.60,111924.50,100682.90,24610.40,10897.60,3839.00,7058.60,,,,,,,,,,,,,,,,
2003,1600589.80,768045.30,364939.80,1132985.10,357644.20,775340.90,467604.70,175776.60,140078.30,115819.40,26220.10,9710.30,4221.60,5488.70,,,,,,,,,,,,,,,,
2004,1771314.20,769385.70,500825.40,1270211.10,446588.40,823622.70,501103.10,190772.00,154966.30,122684.20,29008.70,3671.90,3671.90,,,,,,,,,,,,,,,,,
2005,1947816.30,810511.00,601994.00,1412505.00,541007.40,871497.60,535311.30,185529.20,177259.80,132636.70,39996.20,-110.60,-110.60,,,,,,,,,,,,,,,,,
2006,2263602.50,890078.10,668729.90,1558808.00,543624.30,1015183.70,704794.50,317655.00,208069.60,143970.70,34515.70,583.50,583.50,,,,,,,,,,,,,,,,,
2007,2485785.10,1002670.10,708550.50,1711220.60,505858.30,1205362.30,774564.50,374839.90,221625.70,155231.60,26126.80,-3259.50,-3259.50,,,,,,,,,,,,,,,,,
2008,2860926.40,994552.30,1055384.00,2049936.30,692095.50,1357840.80,810990.10,362530.70,264948.40,165227.40,29604.50,-11320.90,-11320.90,,,,,,,,,,,,,,,,,
2009,2817185.50,1129552.60,870895.50,2000448.10,492210.70,1508237.40,816737.40,381953.20,235921.20,169009.10,31551.50,-1697.60,-1697.60,,,,,,,,,,,,,,,,,
2010,2960443.00,1260425.00,819588.00,2080013.00,587601.10,1492411.90,880430.00,385437.10,267943.70,192692.60,34356.60,,,,,,,,,,,,,,,,,,,
2011,3271080.00,1294054.10,1026187.60,2320241.70,706646.80,1613594.90,950838.30,395232.20,300069.60,214358.50,41178.00,,,,,,,,,,,,,,,,,,,
2012,3514529.53,1314439.59,1138094.16,2452533.75,720773.99,1731759.76,1061995.78,463121.29,324574.78,235095.13,39204.58,,,,,,,,,,,,,,,,,,,
2013,3800415.62,1561751.59,1141823.61,2703575.21,778765.80,1924809.41,1096840.41,482935.93,334143.79,239142.18,40618.51,,,,,,,,,,,,,,,,,,,
