year,total,iepsGasDie,derechos,aprovechamientos,otrPet,totGobFedPet,pemex,totPet,isr,ietu,iva,ieps,importacion,ide,otros,totTrib,NoTrib,totGobFedNoPet,entControlDir,totNoPet,cfe,imss,issste,lfc,entDesinc
1994,328518.1,21776.9,30879.5,151.3,3.2,52810.9,32409.4,85220.3,72900.4,,38536.9,6168.2,12708.1,,8223.7,138537.3,28754.1,167291.4,76006.4,243297.8,20809.3,34908.5,4866.68,3598.2,11823.72
1995,418882.6,17329.2,64474.5,7894.8,,89698.5,49298.6,138997.1,73705.4,,51785.1,7380.8,11144.8,,8960.4,152976.5,37469.4,190445.9,89439.6,279885.5,28488.7,39072,7694.4,1497.8,12686.7
1996,580722,20412.4,106104.4,6730,,133246.8,73353.2,206600,97162,,72109.6,9282.8,14854.7,,12184.7,205593.8,53725.4,259319.2,114802.8,374122,39723.2,48422.3,10074.7,1174.1,15408.5
1997,737180.9,34383.7,122237.5,6818.3,501.8,163941.3,85040.3,248981.6,135100.7,,97741.6,10967.4,18102.6,,15819.3,277731.6,67070.9,344802.5,143396.8,488199.3,54085.5,55703.5,13195.1,1006.4,19406.3
1998,783045.9,61620.9,88778,598,,150996.9,82066.4,233063.3,169476.4,,119871.3,14977.4,21488.4,,16790.8,342604.3,51574.5,394178.8,155803.8,549982.6,63721.8,57277,15947.2,1386.1,17471.7
1999,956683.1,87461.1,90465,7123.4,,185049.5,101165.8,286215.3,216123.4,,151183.5,19242.6,27302.8,,20369,434221.3,55077.3,489298.6,181169.2,670467.8,77949.3,70917.2,19697,1753.3,10852.4
2000,1179918.9,66210.9,196143.2,22201,,284555.1,100591.5,385146.6,258754.2,,189605.9,15333.2,32861.4,,18937.7,515492.4,68220.1,583712.5,211059.8,794772.3,96076.2,85598.2,21190.8,2084.9,6109.7
2001,1271646.3,87188.5,187606.7,8260,,283055.2,103523.9,386579.1,285523.1,,208408.1,23500.3,28902,,21348.2,567681.7,88377.6,656059.3,229007.9,885067.2,100436.5,95462.1,23817.7,2673.4,6618.2
2002,1387500.4,112221.4,140495.7,7289,,260006.1,150031.6,410037.7,318380.3,,218441.7,24035.8,27233,,27971.5,616062.3,113285,729347.3,248115.4,977462.7,111924.5,100682.9,24610.4,3839,7058.6
2003,1600589.8,87579.4,250744.3,17857.5,1463,357644.2,175776.6,533420.8,337015.4,,254433.4,30178.8,26897.8,,30477.5,679002.9,96338,775340.9,291828.1,1067169,140078.3,115819.4,26220.1,4221.6,5488.7
2004,1771314.2,53334.5,354381.8,39606,-733.9,446588.4,190772,637360.4,345217.5,,285022.7,31910.5,29521,,25113.4,716785.1,106837.6,823622.7,310331.1,1133953.8,154966.3,122684.2,29008.7,3671.9,
2005,1947816.3,15186.4,469205.1,54298,2317.9,541007.4,185529.2,726536.6,384521.8,,318432,34440.7,26820.4,,28791.8,793006.7,78490.9,871497.6,349782.1,1221279.7,177259.8,132636.7,39996.2,-110.6,
2006,2263602.5,-42217.5,577717.9,6514.6,1609.3,543624.3,317655,861279.3,448099.8,,380576.1,36975.9,31726.4,,33308.1,930686.3,84497.4,1015183.7,387139.5,1402323.2,208069.6,143970.7,34515.7,583.5,
2007,2485785.1,-48324,549188.9,1255,3738.4,505858.3,374839.9,880698.2,527183.6,,409012.5,41532.2,32188,,37339.4,1047255.7,158106.6,1205362.3,399724.6,1605086.9,221625.7,155231.6,26126.8,-3259.5,
2008,2860926.4,-217609.1,905263.8,,4440.8,692095.5,362530.7,1054626.2,562222.3,46586,457248.3,49283.9,35783.1,17700.3,38896.7,1207720.6,150120.2,1357840.8,448459.4,1806300.2,264948.4,165227.4,29604.5,-11320.9,
2009,2817185.5,3203.1,488087,,920.6,492210.7,381953.2,874163.9,534190.5,44718,407795.1,47364.3,30196.4,15887.7,45276.9,1125428.9,382808.5,1508237.4,434784.2,1943021.6,235921.2,169009.1,31551.5,-1697.6,
2010,2960443,-56153.3,641458.1,,2296.3,587601.1,385437.1,973038.2,626530.4,45069.2,504509.3,60617.1,24531.1,8022.3,45002.6,1314282,178129.9,1492411.9,494992.9,1987404.8,267943.7,192692.6,34356.6,,
2011,3271080,-145679.1,849307.4,,3018.5,706646.8,395232.2,1101879,720445.3,47164.5,537142.5,69245.6,26881.2,-8442,44277.6,1436714.7,176880.2,1613594.9,555606.1,2169201,300069.6,214358.5,41178,,
2012,3514529.531,-203084.3079,923285.1108,,573.189741,720773.9926,463121.2858,1183895.278,758912.4566,42198.75025,579987.469,72952.90124,27906.05809,2785.461496,32207.61162,1516950.708,214809.0499,1731759.758,598874.4938,2330634.252,324574.7838,235095.126,39204.58404,,
2013,3800415.616,-85996.2018,861551.6395,,3210.359124,778765.7968,482935.9335,1261701.73,905523.464,47205.0208,556793.8912,78572.43096,29259.48236,-5988.175818,33171.32294,1644537.436,280271.9738,1924809.41,613904.4757,2538713.886,334143.7873,239142.1757,40618.51278,,
